Name,Teams,Matches,Runs,Bat Avg,Wickets,Bowl Avg
I R Jaggi,"DCH, KKR",7,76,15.20,,
S B Jakati,"CSK, RCB, GUJ",59,28,28.00,47,30.87
M Jansen,"MIN, SUN",10,9,3.00,9,35.44
S T Jayasuriya,MIN,30,768,27.43,13,28.54
A A  Jhunjhunwala,"RRO, PWI, DCH",21,217,16.69,1,129.00
M G Johnson,"MIN, KXI, KKR",54,160,12.31,61,27.92
A S Joseph,"MIN, GTI",12,20,20.00,13,27.00
M C  Juneja,DDV,7,125,17.86,,
J H Kallis,"RCB, KKR",98,2427,28.55,65,35.28
D  Kalyankrishna,DCH,3,3,3.00,2,43.50
Kamran Khan,"RRO, PWI",9,3,3.00,9,23.78
Karanveer Singh,KXI,9,12,12.00,12,26.75
M Kartik,"KKR, PWI, RCB, KXI",56,113,16.14,31,44.77
S M Katich,KXI,11,241,24.10,,
U  Kaul,KXI,5,,,,
A A  Kazi,RCB,1,,,,
A Khan,KKR,1,5,5.00,,
Z Khan,"RCB, MIN, DDV",100,117,8.36,102,27.27
K Khejroliya,RCB,5,,,3,51.00
R S Kishore,GTI,5,,,6,20.17
M Klinger,KTK,4,73,18.25,,
V Kohli,RCB,223,6624,36.20,4,92.00
K M D N Kulasekara,CSK,6,5,,5,24.00
D S Kulkarni,"MIN, RRO, GUJ",92,104,11.56,86,28.77
P Kumar,"RCB, KXI, MIN, SUN, GUJ",119,340,8.95,90,36.12
A Kumble,RCB,42,35,11.67,45,23.51
S Ladda,"DDV, KKR, GUJ",9,,0.00,5,44.80
S Lamichhane,DDV,9,,0.00,13,22.46
B Laughlin,"CSK, RRO",9,5,2.50,10,28.20
B Lee,"KXI, KKR",38,124,12.40,25,43.80
R E Levi,MIN,6,83,13.83,,
L S Livingstone,"RRO, KXI",23,549,27.45,6,35.83
M J Lumb,"RRO, DCH",12,278,23.17,,
C  Madan,MIN,1,15,15.00,,
M F Maharoof,DDV,20,177,17.70,27,19.26
A P  Majumdar,PWI,4,87,21.75,,
I  Malhotra,DCH,1,7,,,
S L Malinga,MIN,122,88,5.50,170,19.85
M  Manhas,"DDV, PWI, CSK",55,514,22.35,,
A Manohar,GTI,8,108,18.00,,
A K Markram,"KXI, SUN",20,527,40.54,1,87.00
S E Marsh,KXI,71,2477,39.95,,
A D Mascarenhas,"RRO, KXI",13,79,8.78,19,18.74
A D Mathews,"KKR, PWI, DDV",49,724,23.35,27,39.96
M J McClenaghan,MIN,56,91,7.00,71,25.39
B B McCullum,"KKR, KTK, CSK, GUJ, RCB",109,2880,27.69,,
A B McDonald,"DDV, RCB",11,123,24.60,11,23.73
C J McKay,MIN,2,8,8.00,1,60.00
A L  Menaria,RRO,29,401,19.10,3,48.00
B M A J Mendis,DDV,3,23,7.67,1,36.00
L I Meriwala,DDV,1,,,1,32.00
D A Miller,"KXI, RRO, GTI",105,2455,36.10,,
A F Milne,"RCB, MIN, CSK",10,23,5.75,7,46.71
A Mishra,"DDV, DCH, SUN",154,362,11.68,166,23.98
T Mishra,DCH,1,,,,
A Mithun,RCB,16,34,6.80,7,67.43
Mohammad Asif,DDV,8,3,1.50,8,37.00
Mohammad Nabi,"SUN, KKR",17,180,15.00,13,31.38
Mohammed Siraj,"SUN, RCB",65,96,13.71,59,33.07
Monu Kumar,CSK,1,,,,
E J G Morgan,"RCB, KKR, SUN, KXI",83,1405,22.66,,
M Morkel,"RRO, DDV, KKR",70,126,11.45,77,27.13
W A  Mota,KXI,12,56,9.33,4,24.25
A Mukund,"CSK, RCB",3,19,9.50,,
C Munro,"KKR, DDV",13,177,14.75,,
A G  Murtaza,"MIN, PWI",12,10,10.00,9,34.78
D J Muthuswami,DDV,6,1,1.00,4,25.25
Y  Nagar,DDV,26,285,20.36,4,31.25
N S Naik,"KXI, KKR",4,31,7.75,,
D G Nalkande,GTI,2,,,2,29.50
D P Nannes,"DDV, RCB, CSK",29,4,4.00,28,28.54
S P Narine,KKR,148,1025,14.86,152,25.13
