Name,Teams,Matches,Runs,Bat Avg,Wickets,Bowl Avg
Mohsin Khan,LSG,9,23,23.00,14,14.07
R G  More,CSK,2,2,,1,59.00
J A Morkel,"CSK, RCB, DDV, RPS",91,974,24.35,85,27.75
C H Morris,"CSK, RRO, DDV, RCB",81,618,22.07,95,24.16
Mujeeb Ur Rahman,"KXI, SUN",19,12,4.00,19,31.16
S S Mundhe,PWI,1,,,1,6.00
M Muralitharan,"CSK, KTK, RCB",66,20,3.33,63,26.75
Mustafizur Rahman,"SUN, MIN, RRO, DDV",46,12,12.00,46,29.67
S Nadeem,"DDV, SUN, LSG",72,39,2.79,48,37.17
K L Nagarkoti,"KKR, DDV",12,22,5.50,5,57.00
K K Nair,"RCB, RRO, DDV, KXI",76,1496,23.75,,
C  Nanda,MIN,3,,0.00,2,28.50
G R  Napier,MIN,1,15,15.00,1,27.00
S  Narwal,"RRO, KKR",7,37,12.33,5,40.40
A D Nath,"GUJ, KXI, RCB",14,90,9.00,,
J D S Neesham,"DDV, KXI, MIN, RRO",14,92,10.22,8,41.75
A Nehra,"MIN, DDV, PWI, CSK, SUN",88,41,5.86,106,23.41
M G Neser,KXI,1,,,,
R  Ninan,RCB,2,3,3.00,3,21.67
A Nortje,DDV,30,8,8.00,43,21.30
N V Ojha,"RRO, DDV, SUN",113,1554,20.72,,
J D P Oram,"CSK, RRO, MIN",18,106,13.25,9,38.78
D Padikkal,"RCB, RRO",46,1260,28.00,,
I C Pandey,"PWI, CSK",25,,0.00,18,32.83
H H Pandya,"MIN, GTI",107,1963,30.20,50,30.70
Pankaj Singh,"RRO, RCB",17,7,3.50,11,42.55
R Parag,RRO,47,522,16.84,4,70.00
M B  Parmar,KKR,1,,,,
Parvez Rasool,"PWI, SUN, RCB",11,17,8.50,4,67.75
H V Patel,"RCB, DDV",78,230,10.45,97,22.87
N K  Patel,RRO,9,121,30.25,,
R V Patel,DDV,4,31,15.50,,
I K Pathan,"KXI, DDV, SUN, RPS, GUJ",103,1139,21.49,80,33.11
M Pathirana,CSK,2,,,2,26.00
D T  Patil,RCB,2,13,6.50,,
K M A Paul,DDV,8,18,3.60,9,26.33
R  Pawar,MIN,1,,,,
N L T C Perera,"CSK, KTK, MIN, SUN, KXI, RPS",37,422,19.18,31,32.77
J R Philippe,RCB,5,78,19.50,,
K P Pietersen,"RCB, DDV, RPS",36,1001,37.07,7,30.71
K A Pollard,MIN,189,3412,28.67,69,31.26
L A Pommersbach,"KXI, RCB",17,302,27.45,,
N Pooran,"KXI, SUN",47,912,26.06,,
R R Powar,"KXI, KTK",27,67,22.33,13,40.54
Prabhsimran Singh,KXI,6,64,10.67,,
P  Prasanth,KTK,1,,,,
V  Pratap Singh,DCH,9,,0.00,10,29.60
R W Price,MIN,1,,,,
C A Pujara,"KKR, RCB, KXI",29,390,20.53,,
K Rabada,"DDV, KXI",63,186,12.40,99,19.86
K L Rahul,"RCB, SUN, KXI, LSG",109,3889,48.01,,
P B B Rajapaksa,KXI,9,206,22.89,,
A S Rajpoot,"CSK, KKR, KXI, RRO, LSG",29,26,5.20,24,33.33
H P Rana,KKR,2,2,2.00,1,51.00
S  Rana,"PWI, RCB",11,91,22.75,,
Rashid Khan,"SUN, GTI",92,313,11.18,112,20.83
A S  Raut,RRO,22,194,21.56,,
D B  Ravi Teja,"DCH, SUN",32,375,19.74,1,28.00
A T Rayudu,"MIN, CSK",188,4190,29.10,,
J A Richardson,KXI,3,15,7.50,3,39.00
N J  Rimmington,KXI,1,1,,,
B J Rohrer,DDV,8,193,32.17,,
R R Rossouw,RCB,5,53,10.60,,
J J Roy,"GUJ, DDV, SUN",13,329,29.91,,
S E Rutherford,"DDV, RCB",10,106,15.14,1,59.00
Sachin Baby,"RRO, RCB",19,144,16.00,2,4.00
P Sahu,KXI,5,19,19.00,3,48.67
N  Saini,KXI,10,140,14.00,,
C Sakariya,"RRO, DDV",17,16,3.20,17,30.00
D Salunkhe,RRO,6,33,16.50,1,78.00
B B Samantray,"DCH, SUN",9,125,25.00,,
D R Sams,"DDV, RCB, MIN",16,44,4.89,14,37.36
M N Samuels,"PWI, DDV",15,161,12.38,9,31.56
S Sandeep Warrier,KKR,5,,,2,67.00
K C Sangakkara,"KXI, DCH, SUN",71,1687,25.95,,
R Sanjay Yadav,MIN,1,,0.00,,
K Santokie,MIN,2,,,3,30.00
S S  Sarkar,KKR,2,,,1,34.00
R R Sarwan,KXI,4,73,18.25,,
J S Saxena,KXI,1,,,,
V Sehwag,"DDV, KXI",104,2728,27.56,6,39.17
K R Sen,RRO,7,,,8,29.63
O A Shah,"KKR, KTK, RRO",23,506,33.73,,
Shahbaz Ahmed,RCB,29,279,18.60,13,36.31
Shahrukh Khan,KXI,19,270,19.29,,
S S  Shaikh,KKR,2,6,6.00,,
T Shamsi,"RCB, RRO",5,2,,3,60.33
I Sharma,"KKR, DCH, SUN, RPS, KXI, DDV",93,55,9.17,72,37.57
K S Sharma,LSG,1,4,4.00,,
M M Sharma,"CSK, KXI, DDV",86,122,8.13,92,26.85
R G Sharma,"DCH, MIN",227,5879,30.30,15,32.53
R Shepherd,SUN,3,58,29.00,3,32.67
Shivam Sharma,KXI,5,5,5.00,4,41.25
Shoaib Akhtar,KKR,3,2,2.00,5,10.80
H R Shokeen,MIN,5,43,21.50,2,63.50
D J M Short,RRO,7,115,16.43,1,19.00
L R Shukla,"KKR, DDV",47,405,15.00,15,31.67
L P C Silva,DCH,3,40,20.00,,
A  Singh,RRO,23,2,0.50,28,22.14
R Singh,MIN,5,45,22.50,6,9.00
R P Singh,"DCH, KTK, MIN, RCB, RPS",82,52,3.47,90,25.98
S Singh,CSK,6,7,7.00,4,34.50
D R Smith,"MIN, DCH, CSK, GUJ",91,2385,28.39,26,31.15
O F Smith,KXI,6,51,17.00,6,29.67
I S Sodhi,RRO,8,7,3.50,9,22.44
Sohail Tanvir,RRO,11,36,12.00,22,12.09
P Solanki,CSK,2,,,2,19.00
B B Sran,"RRO, SUN, KXI, MIN",24,10,10.00,18,42.06
S Sriram,"RCB, DDV",2,31,15.50,,
T  Srivastava,KXI,7,8,8.00,,
M A Starc,RCB,27,96,13.71,34,20.38
M P Stoinis,"KXI, RCB, DDV, LSG",67,1070,26.10,34,30.82
T Stubbs,MIN,2,2,1.00,,
J Suchith,"MIN, DDV, SUN",22,70,17.50,19,31.68
T L  Suman,"DCH, MIN, PWI",43,676,21.13,6,37.17
Sunny Gupta,DDV,1,,0.00,,
P S  Suyal,MIN,5,,,2,75.50
J  Syed Mohammad,RCB,11,29,14.50,8,35.38
T Taibu,KKR,3,31,10.33,,
Y V  Takawale,"MIN, RCB",16,192,24.00,,
A P Tare,"MIN, SUN, DDV",35,339,14.13,,
L R P L Taylor,"RCB, RRO, DDV, PWI",55,1017,25.43,,
S R Tendulkar,MIN,78,2334,34.84,,
S N Thakur,"KXI, RPS, CSK, DDV",75,173,10.81,82,28.54
J Theron,"KXI, DCH, RRO",10,10,5.00,9,32.56
O R Thomas,RRO,4,,,5,15.80
T Thushara,CSK,6,12,6.00,8,20.13
M K Tiwary,"DDV, KKR, RPS, KXI",98,1695,28.73,1,83.00
A Tomar,KKR,1,4,4.00,,
S K  Trivedi,RRO,76,42,6.00,65,29.29
S Tyagi,CSK,14,3,3.00,6,49.17
I Udana,RCB,10,15,5.00,8,35.25
Umran Malik,SUN,17,4,4.00,24,22.50
A  Uniyal,RRO,2,4,4.00,2,33.00
R V Uthappa,"MIN, RCB, PWI, KKR, RRO, CSK",205,4952,27.51,,
P C  Valthaty,"RRO, KXI",23,505,22.95,7,29.29
R E van der Merwe,"RCB, DDV",21,159,14.45,21,23.71
M N van Wyk,KKR,5,167,55.67,,
Y Venugopal Rao,"DCH, DDV, SUN",65,985,22.39,6,56.17
S  Vidyut,CSK,9,145,18.13,1,22.00
M Vijay,"CSK, DDV, KXI",106,2619,25.93,,
G C Viljoen,KXI,6,3,1.50,7,31.71
Virat Singh,SUN,3,15,7.50,,
A C Voges,RRO,9,181,45.25,,
M S Wade,"DDV, GTI",13,179,13.77,,
S K Warne,RRO,55,198,9.90,57,25.39
Washington Sundar,"RPS, RCB, SUN",51,318,14.45,33,33.52
C L White,"RCB, DCH, SUN",47,954,26.50,1,86.00
D J Willey,"CSK, RCB",7,18,9.00,3,55.67
C R Woakes,"KKR, RCB, DDV",21,78,13.00,30,21.93
L J Wright,PWI,7,106,21.20,2,62.00
J Yadav,"DDV, MIN, GTI",19,40,10.00,8,52.38
S A Yadav,"MIN, KKR",123,2644,30.05,,
D H  Yagnik,RRO,25,170,17.00,,
V S  Yeligati,MIN,2,2,2.00,,
Yuvraj Singh,"KXI, PWI, RCB, DDV, SUN, MIN",132,2750,24.77,36,29.92
V H  Zol,RCB,3,29,14.50,,
